"company","companyLogo","description","externalApplyLink","id","jobType","jobType/0","jobType/1","jobType/2","jobType/3","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"The Bakeologists",,"The Bakeologists is a multi site modern inner city Bakery/Cafe looking to add a couple of bakery/cafe FOH all rounders to join our team.
We have multiple job opportunities due to business expansion and our new shop opening in The Gap. This store is due to open first week of March and training will take at The Bakeologists New Farm from now until The Bakeologists The Gap shop opens.
We are looking for people that are positive and energetic with a can do attitude. The latest our shops close is 5pm (approximate 5:30pm finish) so there are no late nights with this role. (We can discuss availability of shifts).
We are a successful multi site business with a strong and consistent customer base and a loyal longserving team. A quality driven business, our focus is on quality product, service and operations.
Day to day duties include, customer service, shop front merchandising, coffee making and standard everyday hospitality business cleaning.
The positions are open to all ability experience levels, new to the workforce or highly experienced. Unfortunately the positions aren't open to working holiday makers, we are looking for longer term team members.
If you're after a professional, consistent, stable, friendly workplace, apply now.
Please include a cover letter with which your role you would like to apply for, location and why we should have you in our team.
Job Types: casual
Salary: $25,023.00 – $40,000.00 per year
Job Types: Full-time, Part-time, CasualPart-time hours: 30 per week
Salary: $21.00 – $40.00 per hour
Schedule:

 Flexible hours
 Weekend availability

Ability to commute/relocate:

 NEW FARM, QLD 4005: Reliably commute or planning to relocate before starting work (Required)

Work Authorisation:

 Australia (Preferred)

Work Location: One location",,"376f42b3a093b325",,"Full-time","Part-time","Casual",,"The Gap QLD 4061","Bakery cafe all rounder","3 days ago",,,"$21 - $40 an hour","2023-02-04T16:02:21.445Z","https://au.indeed.com/company/The-Bakeologists/jobs/Bakery-Cafe-Rounder-376f42b3a093b325?fccid=cfdf762cf53e0763&vjs=3"
"Sharpe Hospitality Enterprises",,"We are looking for experienced and skilled baristas & cafe floor staff.
Job Types: Full-time, Part-time, Casual
Salary: $21.53 – $35.95 per hour
Schedule:

 Day shift
 Morning shift

Experience:

 Barista (Required)
 Food handling (Preferred)

Licence/Certification:

 RSA (Preferred)

Work Authorisation:

 Australia (Preferred)

Shift availability:

 Day Shift (Preferred)

Application Deadline: 08/02/2023Expected Start Date: 15/02/2023",,"9aa30ef12b1504c1",,"Full-time","Part-time","Casual",,"Newstead QLD 4006","Barista/All Rounder","3 days ago",,,"$21.53 - $35.95 an hour","2023-02-04T16:02:21.599Z","https://au.indeed.com/company/Sharpe-Hospitality-Enterprises/jobs/Barista-Rounder-9aa30ef12b1504c1?fccid=9a943ac04e56d92f&vjs=3"
"CACHE CACHE","https://d2q79iu7y748jz.cloudfront.net/s/_logo/a2433d11d0a9534fee4e1e30f7bd2310","Cache Cache Café is searching for experienced Barista to join our team!
What’s in it for you?

 Awards rate up to $38 per hour on weekends!


 Immediate start


 Full/Part time available 20-38 hours a week.


 Flexible hours arrangements

What do you need?
* Available on Friday Saturday Sunday
* Have proven work experience for a minimum of 2 years in a busy café or restaurant
* Have the ability to work in a team
* Be fun and outgoing and have a true passion for what you do
* Be an all-rounder
Job Types: Part-time, CasualPart-time hours: 20 per week
Salary: $26.00 – $34.00 per hour
Benefits:

 Free drinks
 Free food

Schedule:

 8 hour shift
 Morning shift
 Weekend availability

Ability to commute/relocate:

 Rochedale QLD: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

 Can you do basic latte art?

Experience:

 Barista: 1 year (Preferred)
 Customer service: 1 year (Preferred)
 Food handling: 1 year (Preferred)

Work Authorisation:

 Australia (Preferred)
",,"acdf87ab5f757c7e",,,,,,"Rochedale QLD","Barista/All Rounder","5 days ago",,,"$26 - $34 an hour","2023-02-04T16:02:22.516Z","https://au.indeed.com/company/CACHE-CACHE/jobs/Barista-Rounder-acdf87ab5f757c7e?fccid=d2a40dadaecb25a7&vjs=3"
"Unkempt",,"We are seeking outgoing, energetic individuals that love a busy, fast paced environment.
The position available is for front of house service & coffee/back of house food prep 15hrs/week to start. Applicants must be available to work weekends.
As we are a small team you will be required to learn all jobs in the cafe including service, coffee, sandwich prep & basic cooking.
Coffee knowledge & prior cafe experience is essential, prior food handling experience is preferred.
If you are a personable individual who enjoys a chat with customers and working within a small friendly team send us through your resume.
Job Type: Casual
Salary: $22.00 – $28.00 per hour
Benefits:

 Employee discount

Schedule:

 Day shift
 Morning shift
 Weekend availability

Supplemental pay types:

 Penalty rates

Experience:

 Barista: 1 year (Preferred)
 Customer service: 1 year (Preferred)
 Food handling: 1 year (Preferred)

Work Authorisation:

 Australia (Preferred)

Work Location: One location",,"864a1600d3f2b574",,"Casual",,,,"Rochedale QLD 4123","Barista/All Rounder","5 days ago",,,"$22 - $28 an hour","2023-02-04T16:02:23.344Z","https://au.indeed.com/company/Am-&-CK-co.-Pty-Ltd/jobs/Barista-Rounder-864a1600d3f2b574?fccid=ce493e6ad338a62f&vjs=3"
"Muffin Break",,"Love spending your mornings surrounded by the smell of freshly baked muffins and products? Then we have an exciting opportunity for you at our new Muffin Break Chermside store.
Flexible availability is essential as weekend work may be required
Baristas/Cafe All Rounders
If you enjoy the hustle and bustle of a busy cafe and enjoy getting to know your customers, then Muffin Break is just the place.
We are looking for energetic baristas and cafe all rounders to join our team and hit the ground running. Customer service and cash handling are all part of this role. Experience is highly regarded, however, full training is also provided. This position will require early starts, weekend work, and a flexible availability.
Job Types: Part-time, CasualPart-time hours: 10-25 per week
Salary: From $22.00 per hour
Schedule:

 Afternoon shift
 Day shift
 Morning shift
 Weekend availability

Ability to commute/relocate:

 Chermside, QLD: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

 Barista: 1 year (Required)
 Customer service: 1 year (Required)
 Food handling: 1 year (Preferred)

Work Authorisation:

 Australia (Required)
",,"468e6094c5a4d1fc",,"Part-time","Casual",,,"Chermside QLD","Barista/Customer","5 days ago",,,"From $22 an hour","2023-02-04T16:02:23.928Z","https://au.indeed.com/company/Jamaica-Blue-Caneland-Central/jobs/Barista-Customer-468e6094c5a4d1fc?fccid=f6581ce5b711706c&vjs=3"
"The Bagel Boys Pty Limited",,"We are looking for an experienced and enthusiastic Cafe Allrounder for our busy cafe/takeaway stores, where uniformity and consistency is necessary.
The ideal candidate will need to be able to work within a fast-paced friendly team and have excellent customer service skills.
The hours are predominately Monday to Friday daytime hours, some afternoon shifts and weekends when required.
Please send us your CV along with a brief description of why you think you will fit right in with The Bagel Boys.
Work Remotely

 No

Job Types: Full-time, Part-time, Casual
Schedule:

 Day shift
 Monday to Friday

Experience:

 Cafe Allrounder: 1 year (Required)

Language:

 English (Required)

Work Location: One location",,"1f5a509055b36495",,"Full-time","Part-time","Casual",,"Brisbane QLD 4000","Cafe all rounder","5 days ago",,,,"2023-02-04T16:02:24.039Z","https://au.indeed.com/company/The-Bagel-Boys/jobs/Cafe-Rounder-1f5a509055b36495?fccid=e50de672604f0667&vjs=3"
"Table 26 Indooroopilly",,"Table 26 was established with the “Eat, Drink, & Love Life” philosophy back in 2017. This is the owner’s, Amit, dad’s philosophy. After Amit’s dad passed away, Table 26 was born in his honour. We strive to create the best environment for our customers AND for our team members, just like Amit’s dad has done in their first cafe together. We believe that happy employees equals happy customers.
As a barista all rounder, your day-to-day duties will include (but not limited to)

 Opening and closing of the cafe
 Greeting and serving customers and maintaining a friendly presence
 Making coffees, cold drinks and preparing cakes & pastries
 All rounder duties that includes but not limited to clearing tables, washing dishes, taking the bins out, cleaning, table service
 Keeping tabs on the stock levels and reporting to the manager - also responsible for ordering
 Building rapport with regular customers

To be successful in this role, you need

 Experience in coffee making in a medium to fast paced environment for a minimum of 1.5 to 2 years
 Ability to adjust and maintain the coffee grind according to taste & recipe throughout the day
 Be able to make basic latte art (will provide further training for the right candidate)
 Ability to multitask while keeping a cool and friendly demeanour

We are looking for someone that we can UPSKILL and someone who wants to grow in the hospitality industry. We pay award rates (Restaurant Industry Award) and we provide growth opportunities for the right candidate. On top of growth opportunities and working with a great team, you also get to have delicious coffee and staff meal discounts.
We have 25 hours plus (can offer more or less depending on your availability) on offer to start with and are looking for a long-term team member. We look forward to hearing from you.
Job Types: Part-time, PermanentPart-time hours: 25 per week
Salary: $21.00 – $38.00 per hour
Benefits:

 Employee discount
 Employee mentoring program
 Free drinks

Schedule:

 8 hour shift
 Day shift

Supplemental pay types:

 Penalty rates

Ability to commute/relocate:

 Indooroopilly, QLD: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

 Are you available to work Sunday Monday Tuesday Wednesday Thursday? Please list the days you are available.

Experience:

 Barista: 2 years (Required)
 Customer service: 2 years (Required)

Work Authorisation:

 Australia (Required)

Application Deadline: 23/02/2023",,"dc25434452274157",,"Part-time","Permanent",,,"Indooroopilly QLD","Barista All Rounder","11 days ago",,,"$21 - $38 an hour","2023-02-04T16:02:24.452Z","https://au.indeed.com/company/Table-26/jobs/Barista-Rounder-dc25434452274157?fccid=7bbaf62f1b369a35&vjs=3"
"Allpress Espresso",,"About usA great experience means more than just a delicious flat white. A friendly encounter and a great cup of coffee has the ability to transform someone’s day. The knowledge and insight we have gained from running cafés around the world means we know what it takes to deliver a quality experience, day after day. Our cafés are working billboards, where we carefully & confidently show what make us… us.
About the roleWe are looking for a Café All Rounder to work permanently with us in our Brisbane Café on Thursdays and Fridays. We are open from 7am to 2pm and you will;

 Make coffee
 Serve customers
 Run food and drinks to tables
 Help keep the space clean and tidy

About youWe're after someone who has:

 Solid barista skills
 Great customer service skills
 A passion for coffee
 A can do attitude and willingness to pitch in and help the team

Working at AllpressIn addition to great company culture, we offer some nice staff perks including:

 As much free coffee as you like while at work plus beans to take home weekly
 A yearly salary with full benefits such as paid annual leave, carers leave etc
 A free and confidential Employee Assistance Program
 Learning & Development and Wellbeing allowances of up to $200 per year
 An unbeatable opportunity to gain or grow amazing coffee skills
 Genuine career progression within our global company

Diversity at AllpressAllpress is committed to being an inclusive organisation where all people feel valued, respected, and engaged. We pledge a commitment to:

 Building an inclusive team and community who represent all groups in society.
 Empowering our people to continuously improve the way we work and promote equity.
 Removing barriers and the influence of bias.
 Creating a safe environment where we’re encouraged to speak out against discrimination in any form.
 Cultivating a sense of belonging by encouraging our people to fearlessly bring their whole selves to work.

Job Type: Part-time",,"bb432205ec8d42f0",,"Part-time",,,,"East Brisbane QLD 4169","Cafe Allrounder","2 days ago",,,,"2023-02-04T16:02:24.622Z","https://au.indeed.com/rc/clk?jk=bb432205ec8d42f0&fccid=af1ce3cfe7c0c29e&vjs=3"
"Bellissimo Coffee",,"Are you:

 Passionate about COFFEE?
 Has experience in hospitality works or cafe work?

If the answer is YES, we are excited to give you a great news :
BELLISSIMO is Australia's Highest Awarded Coffee Roasters. We aim to give a perfect coffee to every customer while providing an experience they will never forget with exceptional customer service.
We are looking for staff members to take care our loyal customers :

 Minimum of 3 year barista experience for barista role (optional)
 Previous cafe enviroment is highly regarded
 Basic food preparation is an advantage
 Friendly, bubbly, can-do attitude and willing to work in team environment
 Able to work independently and autonomously

BENEFITS :

 A great opportunity to claim the management ladder. We are always promoting within our team.
 Staffs discounts for meals every shift and unlimited coffee of course
 Excellent training will be provided to develop our staffs horizons and career progression
 Weekend penalty rate
 We have multiple venues across Brisbane. Hours for staffs are never a problem

Extra effort to get noticed :
- Send us a cover letter specifically relating to this ad and tell us a little bit of who you are
WE WILL SEE YOU SOON!
Job Types: Full-time, Part-time, Casual, Permanent
Benefits:

 Employee discount
 Free drinks
 Profit sharing
 Visa sponsorship

Schedule:

 Day shift
 Morning shift

Supplemental pay types:

 Overtime pay
 Penalty rates
 Performance bonus
 Tips

COVID-19 considerations:
All following the recent government update
Experience:

 Barista: 3 year (Preferred)
 Customer service: 1 year (Preferred)
 Food handling: 1 year (Preferred)

Job Types: Full-time, Part-time, CasualPart-time hours: 20 per week
Salary: $22.50 – $35.21 per hour
Benefits:

 Employee discount

Schedule:

 8 hour shift
 Afternoon shift
 Monday to Friday
 Morning shift
 Public holidays
 Rotating roster
 Weekend availability

Supplemental pay types:

 Penalty rates
 Performance bonus

Ability to commute/relocate:

 Fortitude Valley, QLD 4006: Reliably commute or planning to relocate before starting work (Required)

Experience:

 Barista: 3 years (Preferred)
 Customer service: 1 year (Preferred)
 Food handling: 1 year (Preferred)

Work Authorisation:

 Australia (Required)
",,"257d23d58e1d73b1",,"Full-time","Part-time","Casual",,"Fortitude Valley QLD 4006","Barista and All Rounder","10 days ago",,,"$22.50 - $35.21 an hour","2023-02-04T16:02:25.058Z","https://au.indeed.com/company/Bellissimo-Coffee/jobs/Barista-Rounder-257d23d58e1d73b1?fccid=18f6f4a95ffea8e0&vjs=3"
"Le Bon Choix Bakery",,"Bonjour,
Le Bon Choix French bakery/patisserie, is looking for motivated Barista and all rounder to join our amazing team.
The following store locations are seeking team members:
Westfield Northlakes Shopping Centre
Casual positions being offered.
You must :
* Have a very good English level* Friendly and outgoing personality* Extremely organised* Flexible
* Having at least 2 years experience in hospitality* Excellent social skills* Dedication and pride in every task carried out* Have a love for hospitality* Have a ""can do"" attitude with a drive to deliver excellence in customer service* Be looking to work for a period of 6 months minimum.
* Barista is a big plus
Weekend work is involved.
If you don't have one of those requirements please DO NOT apply.
Submit your resume with a cover letter detailing why you want this position and why you are the best person for the job.
Merci
Job Type: Casual
Salary: $26.73 – $42.42 per hour
Schedule:

 8 hour shift

Ability to commute/relocate:

 Brisbane City QLD: Reliably commute or planning to relocate before starting work (Required)

Experience:

 Customer service: 1 year (Preferred)
 Barista: 2 years (Required)

Work Authorisation:

 Australia (Required)
",,"67c13bd0df546415",,"Casual",,,,"Brisbane QLD","Cafe service staff and Barista's at Brisbane CBD","4 days ago",,,"$26.73 - $42.42 an hour","2023-02-04T16:02:25.355Z","https://au.indeed.com/company/Le-Bon-Choix-Bakery/jobs/Cafe-Service-Staff-Barista-At-Cbd-67c13bd0df546415?fccid=a55573c59e464404&vjs=3"
"Table 26",,"About us
Table 26 Group is looking for an experienced Manager/ Barista All Rounder for our West End branch. We are looking for a customer-focused Manager that can provide the best service possible to our regulars and maintain a consistent standard of service. Table 26 was built on “Eat, Drink, & Love Life” values. We value work life balance and strive to create the best working environment possible.
Requirements

 Either a minimum of two years of experience as a Barista in Australia in a fast-paced cafe (Being Campos Coffee trained is a plus - but not required as we will further up-skill you) OR able to demonstrate the ability to produce consistently good shots following a recipe and texture milk perfectly to produce latte art in a fast paced environment.
 Rostering experience - MUST HAVE (Experience in Deputy rostering app is a plus).
 Ability to prioritise and make difficult decisions in fast paced environment
 Ability to professionally diffuse disgruntled customer situations with empathy and tact.
 Professional presentation, impeccable hygiene and high standards of cleanliness.
 Excellent customer service, with a friendly, happy demeanour.
 Effective problem-solving and troubleshooting experience.
 Proactive approach, with a ""can-do attitude"", genuine “care factor” and a “whatever it takes"" thinking
 Ability to lead the team by example and inspire the team to achieve great customer service goal together. 
 Punctual with excellent time-management and prioritising.
 All rounder skill set required (includes but not limited to): wait work, dishes, clean up & pack up, ordering, opening & closing.

Responsibilities

 Roster efficiently and meet labour cost target without compromising service
 Barista all-rounder duties
 Cash register reconciliation
 Supervise and lead fellow team members
 Stock control
 Customer feedback response
 Open & close the store
 Meet KPI targets

Benefits

 Employee discount
 Free drinks
 Professional growth opportunity within Table 26 Group

Job Type: Full-time
Salary: $55,000.00 – $65,000.00 per year
Benefits:

 Employee discount
 Professional development assistance

Schedule:

 Day shift
 Morning shift
 Weekend availability

COVID-19 considerations:Follow government advice. 
Ability to commute/relocate:

 West End, QLD 4101: Reliably commute or planning to relocate before starting work (Required)

Experience:

 Barista: 2 years (Required)

Work Authorisation:

 Australia (Preferred)

Shift availability:

 Day Shift (Preferred)

Application Deadline: 11/02/2023Expected Start Date: 09/02/2023",,"491dfef56db05a58",,"Full-time",,,,"West End QLD 4101","Cafe Manager","3 days ago",,,"$55,000 - $65,000 a year","2023-02-04T16:02:25.625Z","https://au.indeed.com/company/Table-26/jobs/Cafe-Manager-491dfef56db05a58?fccid=7bbaf62f1b369a35&vjs=3"
"SEGMENTX",,"A fast-paced, bustling cafe in the heart of Brisbane is seeking an experienced Cafe All Rounder to join their dynamic team. The ideal candidate will be a quick learner, have a passion for coffee and food, and be able to work in a fast-paced environment.
Responsibilities:

 Preparation of coffee-based beverages and light food items to a high standard
 Serving customers in a friendly and professional manner
 Maintaining a clean and organized work area
 Operating cash registers and processing customer payments
 Keeping track of stock levels and ordering supplies as necessary
 Assisting with kitchen duties, such as dishwashing and food preparation
 Providing excellent customer service and responding to customer inquiries and complaints

Requirements:

 Experience working in a cafe or similar environment
 Strong knowledge of coffee-based beverages and light food items
 Excellent customer service skills
 Ability to work well under pressure and multitask
 Strong attention to detail and ability to follow procedures
 Ability to work flexible hours, including weekends and evenings
 Ability to work well in a team environment

This is a full-time position with a competitive salary and benefits package. If you are a motivated and hardworking individual who is passionate about coffee and food, we encourage you to apply. Join a fun and dynamic team and grow your career in the hospitality industry.
Job Types: Part-time, CasualPart-time hours: 20 per week
Salary: $25.00 – $30.00 per hour
Benefits:

 Employee discount

Schedule:

 Flexible hours
 Overtime
 Rotating roster
 Weekend availability

Supplemental pay types:

 Overtime pay
 Performance bonus
 Tips

Ability to commute/relocate:

 Brisbane QLD: Reliably commute or planning to relocate before starting work (Preferred)
",,"75ab5b95f93e16af",,"Part-time","Casual",,,"Brisbane QLD","Cafe all rounder","2 days ago",,,"$25 - $30 an hour","2023-02-04T16:02:26.641Z","https://au.indeed.com/company/SegmentX/jobs/Cafe-Rounder-75ab5b95f93e16af?fccid=c6c59479c45f7ff5&vjs=3"
"Le Bon Choix Bakery",,"Bonjour,
Le Bon Choix is seeking a motivated and experienced cafe manager.
Location - Brisbane CBD
To be considered for the position you must have a minimum of 3 years experience in cafe management, and a proven track record. The following skills and personal attributes we are looking for:
* Enthusiastic team player* Strong leadership qualities* Friendly and outgoing personality* Extremely organised* Flexible all rounder* Excellent social skills* Able to acheive KPI's and write rosters* Dedication and pride in every task carried out* Have a love for hospitality and management* Clear understanding in café operations* Have a ""can do"" attitude with a drive to deliver excellence in customer service* Providing staff training and development
* Must have Barista experience and skills****
You must be able to follow set budgets and control wastage and sales ratios, weekly report, wage report as well as be able to integrate store rosters.
*Some weekend work is involved and full availability essential
Submit your resume with a cover letter detailing why you want this position and why you are the best person for the job. Please also note which store you're applying to.
Job Types: Full-time, Permanent
Schedule:

 8 hour shift

Ability to commute/relocate:

 Brisbane CBD

Work Authorisation:

 Australia (Preferred)

Thank you in advance.
Job Types: Full-time, Permanent
Salary: From $60,000.00 per year
Benefits:

 Employee discount

Schedule:

 Day shift

Supplemental pay types:

 Performance bonus

Application Question(s):

 How many years of experience as a Barista ?

Work Authorisation:

 Australia (Required)
",,"617d6c75aaf301e8",,"Full-time","Permanent",,,"Brisbane QLD","CAFE TEAM LEADER - BRISBANE CBD","1 day ago",,,"From $60,000 a year","2023-02-04T16:02:26.942Z","https://au.indeed.com/company/Le-Bon-Choix-Bakery/jobs/Cafe-Team-Leader-617d6c75aaf301e8?fccid=a55573c59e464404&vjs=3"
"Bardon Thyme",,"WE ARE HIRING Junior staff!
We're looking for all rounder JUNIOR staff to join our friendly team at Bardon Thyme cafe in Bardon.
Weekend available
-Well presented and have exceptional customer service
We are looking for someone who is energetic, personable and has good communication skills.
If this sounds like you then we would love to have you on board!
Please email your CV and resume.
Job Type: Casual
Schedule:

 Flexible hours
 Weekend availability
",,"3d53fc9f8157054c",,"Casual",,,,"Bardon QLD 4065","Junior all rounder","2 days ago",,,,"2023-02-04T16:02:27.447Z","https://au.indeed.com/company/Bardon-Thyme/jobs/Junior-Rounder-3d53fc9f8157054c?fccid=a03d3322baa20f2d&vjs=3"
"Hannah Business Trust",,"Brisbane City Cafe is looking for a great FOH person who can assemble our amazing gourmet sandwiches and serve our home made treats from the display.
You need to be presentable with a happy disposition and great work ethic.
You will be part of a small professional team that all deliver awesome food and Coffee.
Please attach a resume if you want to work with real foodie people.
Monday to Friday
Breakfast and Lunch
We start trials ASAP
Best job in hospitality
Job Types: Casual, Full-time, Part-time, PermanentPart-time hours: 35 per week
Salary: $25.00 – $28.00 per hour
Schedule:

 Day shift
 Monday to Friday
 No weekends

Experience:

 Cafe: 1 year (Preferred)
 Food handling: 1 year (Preferred)
 Barista: 1 year (Preferred)

Work Authorisation:

 Australia (Preferred)

Work Location: One location",,"c707e2dae6af212c",,"Full-time","Part-time","Casual","Permanent","Brisbane QLD 4000","Café All Rounder / Barista","26 days ago",,,"$25 - $28 an hour","2023-02-04T16:02:29.335Z","https://au.indeed.com/company/LA-LUCA/jobs/Caf%C3%A9-Rounder-c707e2dae6af212c?fccid=1c7b4c54cc92f302&vjs=3"
