"company","companyLogo","description","externalApplyLink","id","jobType","jobType/0","jobType/1","jobType/2","jobType/3","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"Shingle Inn",,"The Shingle Inn has an exciting opportunity for an experienced Café Supervisor to lead a team and work within a well-established national café brand. Join our fun and fast paced team showcasing your leadership skills, passion for customer service and your fantastic organisational skills!
With over 85 years experience Shingle Inn is a truly unique cafe, serving our handmade, decadent cakes, delicious food and superior coffee! We are committed to providing superior products and exceptional customer service.
Job tasks and responsibilities:

 Maintaining an exceptionally high standard of customer service
 Ensuring quality control is maintained on all food and drink products
 Maintain and implement marketing campaigns, displays and sales techniques
 Cash management including reconciliations & banking
 Stock control and conducting regular stocktakes
 Maintaining strong team motivation and ongoing team training & development
 Adhering to and monitoring Workplace Health and Safety standards
 Manage daily operational needs including food costs, wage costs & other expenses

To be successful, you will:

 Have a ‘can do’ attitude that strives to exceed customer expectations
 Have a minimum of 2 years’ experience as a Café Supervisor
 Strong Barista skills and all-rounder skills
 Have demonstrable skills in leading and motivating a team
 Be available across a 7-day roster

If you’re passionate about coffee, the hospitality industry and share our commitment to fantastic customer service, we encourage you to apply.
Please include a cover letter outlining your supervisor experience.
Job Type: Full-time
Benefits:

 Professional development assistance

Schedule:

 8 hour shift
 Rotating roster
 Weekend availability

Supplemental pay types:

 Penalty rates
",,"eec5bc5e5bed6848",,"Full-time",,,,"Brisbane QLD","Café Supervisor - Shingle Inn Capalaba","30+ days ago",,,,"2023-02-04T16:02:29.634Z","https://au.indeed.com/company/Shingle-Inn---Myer-Centre/jobs/Caf%C3%A9-Supervisor-eec5bc5e5bed6848?fccid=2c3a0360aa499169&vjs=3"
"Mi Casa Cafe",,"HEY EVERYONE,
We are looking for an experienced Cafe All-Rounder to work in our Juice Bar. We’re searching for someone to join our amazing team on weekdays and weekends and have open availability to work shifts between 6.30am to 3pm OR 3pm to 12am.
What we're looking for in a candidate:
- Must have a passion for hospitality and enjoy bonding with customers
- Must be able to work independently and have good working pace
-Must work in a clean and efficient manner and be willing to help the team in other departments
- Must have amazing customer service
You will be making, decorating and serving a range of juices and smoothies. As well as serving customers and keeping the cafe looking presentable.
We look forward to meeting you!
Job Types: Part-time, Permanent, CasualPart-time hours: 20 - 40 per week
Salary: $48,000.00 – $54,000.00 per year
Benefits:

 Employee discount

Schedule:

 Afternoon shift
 Evening shift
 Monday to Friday
 Morning shift
 Night shift
 Weekend availability

Ability to commute/relocate:

 Underwood, QLD 4119: Reliably commute or planning to relocate before starting work (Required)

Work Authorisation:

 Australia (Preferred)
",,"9243f0c873ef7e92",,"Part-time","Casual","Permanent",,"Underwood QLD 4119","Juice & Smoothie Maker","22 days ago",,,"$48,000 - $54,000 a year","2023-02-04T16:02:30.824Z","https://au.indeed.com/company/Mi-Casa-Cafe/jobs/Juice-Smoothie-Maker-9243f0c873ef7e92?fccid=848c8e0a9554737e&vjs=3"
"My Chef Trust",,"Little Café in the heart of Brisbane CBD is looking for a Front of House All Rounder.
You will be taking orders, working the cash register and running food and drinks.
We also make and plate up our gourmet sandwiches and salads.
If you love making people happy and delivering delicious food and outstanding coffee then join our professional little team.
Monday to Friday
Breakfast and Lunch
No Weekends!!
Best job in Hospitality
Job Types: Full-time, Part-time, CasualPart-time hours: 35 per week
Salary: $25.00 – $28.00 per hour
Schedule:

 Day shift

Experience:

 Food preparation: 1 year (Preferred)
 Cafe: 1 year (Preferred)
 Barista: 1 year (Preferred)

Work Authorisation:

 Australia (Preferred)
",,"0eaf78a6e2f0391d",,"Full-time","Part-time","Casual",,"Brisbane QLD","Café All Rounder","26 days ago",,,"$25 - $28 an hour","2023-02-04T16:02:31.150Z","https://au.indeed.com/company/My-Chef-Trust/jobs/Caf%C3%A9-Rounder-0eaf78a6e2f0391d?fccid=9dc12327b884f5ff&vjs=3"
"Nomad Coffee Group",,"Introduction:
 Who is Veneziano Coffee Roasters? 

 We’re a progressive, dynamic and pioneering coffee roasting business with passion and drive, energised by the shared ambitions of our team and coffee community. Within our industry, the Veneziano name is synonymous with knowledge, experience, and innovation. 

 
Description:
 What's the Opportunity? 

 If you’re after a hands-on Warehouse-based role in a busy, dynamic and welcoming business located in handy West End then keep reading… 

 The West End Driver and Team Allrounder will primarily execute delivery and distribution tasks and provide support for the Operations team across Warehousing and Production tasks when not on the road. 

 What skills and knowledge do I need? 

 We'd love someone with previous experience in a FMCG warehousing and dispatch environment but ultimately we're after someone who is reliable, physically fit, and results-driven as well as being able to work independently and in a team environment. 

 Experience with NetSuite or similar ERP is very advantageous. 

 As this is a customer-facing delivery role, it is crucial that the succesful candiate has a customer-first attitude, and a full driver's licence. A forklift licence is also desirable. 

 
In addition to this, our successful candidate will also:
 
 
 Love customer service and want to build a rapport with people and our customers; 
 The ability to go beyond delivery goods by developing relationships and promote our brand; 
 Have pride in their apperance and the brand; 
 Have great time management, communication and organisational skills; 
 Highly motivated with the ability to multitask and complete assignments within time constraints, deadlines and priorities. 
 You will be responsible for the following; 

 
 
 Delivering fresh coffee to customers using the company van; 
 Accurate picking of stock; 
 Checking and inspecting goods received and dispatched and ensuring they are of accurate and of acceptable quality; 
 Maintain the cleanliness of the company van; 
 Communicate any customer issues to customer service; 
 Deliver goods in a safe and timely manner; 
 Receiving, moving, checking and storing incoming goods; 
 Packing and labelling products, such as coffee for dispatch; 
 Picking, packing and preparing goods for delivery; 
 Loading and unloading delivery vans, and dispatch courier trucks; 
 Stock rotation; 
 Assisting the team in weekly cleaning and maintenance schedules. 
 
What we’re offering:
 This opportunity gives you the chance to join a tight-knit team and growing business where you opportunities for growth and development are uncapped. With a focus on work-life balance, a company that genuinely cares about your wellbeing, and the stability of a business that continues to expand and thrive. In addition to this we offer: 

 
 
 Being part of a strong global business with expansion plans; 
 The opportunity to join a business with a focus on sustainability and well-being; 
 Generous discounts on coffee, coffee equipment, and at leading cafes; 
 Quarterly and EOY staff appreciation program; 
 Access to our Employee Assistance Program; 
 Most importantly - Work/life balance; 
 Paid Parental Leave and Paid Volunteer Time Off 
 Employee Wellbeing Program 
 If this sounds like you, send us an application with a cover letter telling us a bit about yourself plus a resume detailing your relevant experience. 

 There is plenty of opportunity for you to make your mark at Veneziano Coffee Roasters. 

 Inspired to be a part of the journey? Click apply now.",,"f0016501070f09dc",,"Full-time","Permanent",,,"West End QLD","Driver & Team All-Rounder","17 days ago",,,,"2023-02-04T16:02:31.329Z","https://au.indeed.com/rc/clk?jk=f0016501070f09dc&fccid=e5a6157a96457b78&vjs=3"
"The Green Edge",,"We are looking for an experienced barista/cafe all-rounder to join our team. The role will be a mix of barista work/smoothies/juices & customer Table service.
15 - 30 flexible hours available including weekends but no evenings. An immediate start is available for the right candidate.
The successful candidate will:

 Have a passion for Plant based foods
 Have high energy, and a positive mind-set
 Value good customer service
 Have a genuine smile and a natural ability to connect with people
 Be able to work within a dynamic and fast-paced environment
 Have the ability to follow a sequence of service (training is provided)
 Be a real team player and be prepared to assist wherever required
 Barista experience essential
 Table service experience preferable but not essential
 Be flexible, with availability to work around peak hours

Job Type: Casual
Salary: $27.00 – $32.00 per hour
Benefits:

 Employee discount

Schedule:

 Day shift

Experience:

 Barrista: 1 year (Required)

Work Authorisation:

 Australia (Required)

Work Location: One location",,"834761da9f4add15",,"Casual",,,,"Windsor QLD 4030","Barista/Café All-rounder","29 days ago",,,"$27 - $32 an hour","2023-02-04T16:02:32.120Z","https://au.indeed.com/company/The-Green-Edge/jobs/Barista-Caf%C3%A9-Rounder-834761da9f4add15?fccid=2f4dd3b67a229ef8&vjs=3"
"Shingle Inn",,"Are you a people person who loves to help and delight customers using your outstanding customer service skills? Do you enjoy working in a fun and fast paced team environment?
We are seeking a Casual and Part time Café All-Rounders with barista and Kitchen Hand experience to work in our Shingle Inn Store. If you have a passion for customer service, good organisational skills and enjoy working in a fast paced café environment we encourage you apply.
With over 85 years experience Shingle Inn is a truly unique café, serving our handmade, decadent cakes, delicious food and superior coffee! We are committed to providing superior products and exceptional customer service.
All-rounder duties include:

 Providing quick, efficient and polite service at all times
 Promoting and upselling all stock available for purchase
 Developing and expanding your barista knowledge and skills
 Using the point of sale system and cash handling duties
 Constant communication with all team members to ensure service is reaching optimum levels
 Preparing café style menu selections and using kitchen equipment
 Conducting general cleaning duties
 Ensure compliance of workplace, health and safety, and other legislative requirements

To be successful, you will:

 Be committed to delivering exceptional customer service and exceeding your customers' expectations
 Have excellent communication skills
 Be willing to be trained and work in all areas of the cafe
 Be excited about working in a dynamic & busy cafe environment
 Have a passion for great coffee, great food and great service!
 Must have full availability across a 7-day roster
 And finally, have a positive 'can do' attitude and love working as part of a team

Shingle Inn offers an exciting range of roles and career opportunities with a commitment to ongoing training and development. We promote an inclusive and diverse friendly team environment and family culture.
If you’re passionate about coffee, the hospitality industry and share our commitment to fantastic customer service, we want to hear from you. APPLY NOW!!
Job Type: Junior and Senior Positions available
Job Types: Part-time, Casual
Schedule:

 Flexible hours
 Weekend availability
",,"e90fa0058efa7b1a",,"Part-time","Casual",,,"Brisbane QLD 4000","Cafe All-Rounder - Shingle Inn","30+ days ago",,,,"2023-02-04T16:02:32.443Z","https://au.indeed.com/company/Shingle-Inn---Myer-Centre/jobs/Cafe-Rounder-e90fa0058efa7b1a?fccid=2c3a0360aa499169&vjs=3"
"Raw Energy Café",,"About Raw Energy:
Real food, real friends and real experiences.
At our cafes, you’ll find artisan coffee, friendly service, nutritious & delicious food, and relaxed coastal vibes.
From all-day breakfast to burgers, Acai bowls, smoothies, salads and juices, our menu has you sorted. We specialise in options for Vegan, Vegetarian, Gluten-Free and more.
No night shifts! No late finishing times!
Job Position: Barista / all rounder
Availability: weekends and 1 week day
Competitive rates!
Shift hours between 7:00 - 15:00
Location: 100, Edward street - Brisbane CDB
Main tasks:

 Ensure organisation and cleaning standard procedures
 Adhere to recipes and presentation for beverage
 Making coffees (able to handle busy moments)
 Making Smoothies and fresh juices adhering to recipes
 Taking orders
 Processing customer's payment
 Be punctual and reliable
 Speak and interact with both new and regular customers ensuring the best customer service experience
 Ensuring all Health & Safety procedures
 Be pro active
 Quick-thinking and can-do attitude
 Exceptional customer service skills

Certificates: COVID Vaccination

 Certificate III in Hospitality or previous experience in the same position is desired

Job Type: Casual
Salary: $27.00 – $34.86 per hour
Benefits:

 Free drinks

Schedule:

 Afternoon shift
 Day shift
 Flexible hours
 Morning shift

Work Location: Hybrid remote in BRISBANE CITY, QLD 4000",,"e0b3d06fab581f5b",,,,,,"Brisbane QLD 4000","Barista/All Rounder","16 days ago","4.7","3","$27.00 - $34.86 an hour","2023-02-04T16:02:32.659Z","https://au.indeed.com/company/Raw-Energy-Caf%C3%A9/jobs/Barista-Rounder-e0b3d06fab581f5b?fccid=852950cd510fad6e&vjs=3"
"Bardon Thyme",,"WE ARE HIRING FOH / all rounder!
We're looking for front of house / all rounder to join our friendly team at Bardon Thyme cafe in Bardon.
Casual Role
-Monday to Sunday shift available, Flexible rosters
-Well presented and have exceptional customer service
Pay casual award rate+super -We pay weekely
We are looking for someone who is energetic, personable and has good communication skills.
If this sounds like you then we would love to have you on board!
Please email your CV and resume.
Job Type: Casual
Schedule:

 Flexible hours
 Monday to Friday
 Weekend availability

Ability to commute/relocate:

 Bardon, QLD: Reliably commute or planning to relocate before starting work (Required)

Experience:

 All rounder: 1 year (Preferred)
",,"d7b23f948c5ba1b3",,"Casual",,,,"Bardon QLD","Front of House All-Rounder","19 days ago",,,,"2023-02-04T16:02:32.839Z","https://au.indeed.com/company/Bardon-Thyme/jobs/Front-House-Rounder-d7b23f948c5ba1b3?fccid=a03d3322baa20f2d&vjs=3"
"Gelare Cafe",,"Barista/ Cafe all rounder are responsible in making coffees and smoothies, cooking breakfast, waffles and pancakes, and scooping ice creams and
They are responsible for serving and charging customers
Responsible in cleaning dining tables and chairs
Can work independently
Job Type: Casual
Benefits:

 Employee discount

Schedule:

 Afternoon shift
 Evening shift
 Flexible hours
 Night shift
 Public holidays
 Rotating roster
 Shift work
 Weekend availability

Work Location: One location
Expected Start Date: 24/01/2024",,"f467fac38e304c05",,"Casual",,,,"South Brisbane QLD 4101","Barista/Café All-rounder","14 days ago",,,,"2023-02-04T16:02:33.637Z","https://au.indeed.com/company/Gelare-Cafe/jobs/Barista-Caf%C3%A9-Rounder-f467fac38e304c05?fccid=f13d6f726ba2c543&vjs=3"
"Espresso SQ",,"Espresso SQ Cafe is looking for an experienced Barista/all rounder who has passion and drive for the industry and is a team player with a positive attitude.
Applicants must:
-Possess excellent customer service skill
-Have a minimum of one year's experience on the coffee machine
-Be able to spin quality milk and pour beautiful latte art
-Be comfortable with Mythos and grind adjustments
Offering 35-40 hours a week Monday-Friday. No evening or weekend work, the perfect role for work/life balance. Immediate start, holding trials this week.
Job Types: Full-time, Permanent, Casual
Salary: $25.00 – $35.00 per hour
Schedule:

 8 hour shift
 Afternoon shift
 Day shift
 Morning shift

Experience:

 Barista: 1 year (Required)
 Customer service: 1 year (Preferred)
 Food handling: 1 year (Preferred)

Work Authorisation:

 Australia (Preferred)

Work Location: One location",,"a1002860df61e070",,"Full-time","Casual","Permanent",,"Brisbane QLD 4000","Barista/All Rounder","3 days ago",,,"$25 - $35 an hour","2023-02-04T16:02:33.857Z","https://au.indeed.com/company/Espresso-SQ/jobs/Barista-Rounder-a1002860df61e070?fccid=fc3fa2b7e28b5791&vjs=3"
"Le Bon Choix Bakery",,"Bonjour,
Le Bon Choix French bakery/patisserie, is looking for motivated Barista and all rounder to join our amazing team.
The following store locations are seeking team members:
Westfield Chermside Shopping Centre
Casual positions being offered.
You must :
* Have a very good English level* Friendly and outgoing personality* Extremely organised* Flexible
* Having at least 2 years experience in hospitality* Excellent social skills* Dedication and pride in every task carried out* Have a love for hospitality* Have a ""can do"" attitude with a drive to deliver excellence in customer service* Be looking to work for a period of 6 months minimum.
* Barista is a big plus
Weekend work is involved.
If you don't have one of those requirements please DO NOT apply.
Submit your resume with a cover letter detailing why you want this position and why you are the best person for the job.
Merci
Job Type: Casual
Salary: $26.73 – $42.42 per hour
Schedule:

 8 hour shift

Ability to commute/relocate:

 Chermside QLD: Reliably commute or planning to relocate before starting work (Required)

Experience:

 Customer service: 1 year (Preferred)

Work Authorisation:

 Australia (Preferred)
",,"12979988b3552655",,"Casual",,,,"Chermside QLD","Cafe service staff and Barista's at Chermside","11 days ago",,,"$26.73 - $42.42 an hour","2023-02-04T16:02:35.927Z","https://au.indeed.com/company/Le-Bon-Choix-Bakery/jobs/Cafe-Service-Staff-Barista-At-12979988b3552655?fccid=a55573c59e464404&vjs=3"
"Muffin Break",,"We are a small cafe bakery store, providing premium coffee, fresh muffin, and savory food. We are located at Indooroopilly Shopping Centre.
We are hiring a cafe customer service, taking orders, making cold drinks, and toasties, washing and clean.
15-12hrs per week
fexlible schedules
casual or partime
friendly and reliable
1 year service experience
Day Shift
Job Types: Part-time, CasualPart-time hours: 15-20 per week
Salary: $21.02 – $30.00 per hour
Schedule:

 8 hour shift
 Day shift

Ability to commute/relocate:

 Indooroopilly, QLD 4068: Reliably commute or planning to relocate before starting work (Required)

Work Authorisation:

 Australia (Preferred)
",,"de44a7550ae42226",,"Part-time","Casual",,,"Indooroopilly QLD 4068","Cafe all rounder","30+ days ago",,,"$21.02 - $30.00 an hour","2023-02-04T16:02:36.558Z","https://au.indeed.com/company/Indooroopilly-Shopping-Center-Food-Court/jobs/Cafe-Rounder-de44a7550ae42226?fccid=05da758116c054f4&vjs=3"
"Fryhard",,"We are looking for an experienced, attention to detail and highly motivated short order cook.
You must be available to accommodate a 7 day roster.
What are the main duties and requirements?
You will be making and preparing burgers, fish and chips, salads, sauces and hotbox items such as chiko rolls, sea scallops, spring rolls etc.You will be performing food prep on fresh fish, vegetables and condiments.You will be ensuring the kitchen is always at a high standard of hygiene and cleanliness.You will be providing Customer Service (taking orders) both face to face and over the phoneYou will be required to have knowledge of food safety.You will be performing general cleaning dutiesYou must be able to work at CarseldineLive close by or have own transportThis position would be perfect for an experienced cook or cafe all rounder who loves working with food and looking for long term employment within our team at Fryhard.
What skills, knowledge and attitude do I need?
Our store is extremely high volume during dinner service and weekends therefore you must have previously worked in a similarly busy cafe or takeaway shop for at least 1 years as a short order cook with a strong ability to work under pressure and communicate clearly.
Trading hours are as follows:
Monday: 11:30am to 7:30pmTuesday to Thursday: 11:00am to 8:00pmFriday to Saturday: 11:00am to 8:30pmSunday: 11:00am to 7:30pm
Job Types: Part-time, PermanentPart-time hours: 25-38 per week
Salary: $55,000.00 – $70,000.00 per year
Benefits:

 Employee discount

Schedule:

 Rotating roster

Supplemental pay types:

 Penalty rates

Experience:

 Short Order Cooking: 1 year (Preferred)
 Customer service: 1 year (Preferred)
",,"732bb94101fcab48",,,,,,"Carseldine QLD 4034","Part Time Short Order Cook","30+ days ago",,,"$55,000 - $70,000 a year","2023-02-04T16:02:36.664Z","https://au.indeed.com/company/Fryhard/jobs/Short-Order-Cook-732bb94101fcab48?fccid=7903bf432f3f5db2&vjs=3"
"Bellissimo Coffee",,"Bellissimo Coffee is currently recruiting for Cafe All Rounder and Kitchen Hand. These roles will begin as casual with room to move into permanent roles with as part time or fulltime.Day shifts only. Prior experience is sort after, and rostering can be flexible to suit. Hourly rate will be based and experience and by the current award.
Starting time at 5:30am, finishes at 1.30pm.
You may be a person that would like to just do a Cafe All Rounder or someone that would like to progress into cooking for our simple breakfast menus, such as; toasting sandwiches, poached eggs, fried eggs and bacons.
This role is suitable for someone looking to gain experience in cooking roles.
This role is ready to be filled and shifts can begin from this week coming.
Job Types: Full-time, Part-time, Permanent, Casual
Part-time hours: 25-35 per week
Salary: $25.00 – $35.00 per hour
Benefits:

 Employee discount
 Free drinks
 Visa sponsorship

Schedule:

 8 hour shift
 Day shift
 Morning shift

Supplemental pay types:

 Overtime pay
 Penalty rates

COVID-19 considerations:
following recent government policy
Experience:

 Short Cook: 1 year (Preferred)
 Experience in kitchen hand or food prep (Preferred)

Work Authorisation:

 Australia (Preferred)

Other requirement:

 A student in hospitality studies (preferred)
 A student in cookery studies (preferred)

Job Types: Full-time, Part-time, CasualPart-time hours: 30 per week
Salary: $22.70 – $35.54 per hour
Benefits:

 Employee discount

Schedule:

 8 hour shift
 Afternoon shift
 Monday to Friday
 Morning shift
 Public holidays
 Rotating roster
 Weekend availability

Supplemental pay types:

 Penalty rates
 Performance bonus

Experience:

 Kitchen Hand/ Cook: 1 year (Preferred)

Work Authorisation:

 Australia (Preferred)
",,"7c2ea833c426b15b",,,,,,"Fortitude Valley QLD 4006","Cafe all rounder and Kitchen Hand","30+ days ago",,,"$22.70 - $35.54 an hour","2023-02-04T16:02:36.923Z","https://au.indeed.com/company/Bellissimo-Coffee/jobs/Cafe-Rounder-Kitchen-Hand-7c2ea833c426b15b?fccid=18f6f4a95ffea8e0&vjs=3"
"Taste My Bean",,"About the business
Come and join our friendly, supportive and energetic team that strive for perfection in customer experience and our products produced.
About the role:
We are looking for hard working and dedicated people to join our team. A busy store but a great opportunity for staff to get in depth training and grow with our business. Hours available will be between 3:30am and 6pm Monday to Sunday. Preferably those who have had previous cafe/ restaurant experience in a high volume, fast paced environment. Previous Drive thru experience is not a requirement but will be highly regarded. The role will be a true cafe all-rounder, including but not limited to customer interaction, food prep & service, cleaning tasks, P.O.S, coffee making and more.
We have up to 38 hours a week on offer for those who can perform to a high standard and display a positive work attitude.
Job Types: Full-time, Part-time, Casual
Salary: $25.00 – $30.00 per hour plus more on Saturday, Sunday and public holidays.
Benefits and perks:

 Plenty of room for growth and development.
 Supportive management team, in-depth training and flexible hours.
 Skills and experienced
 Employee discount on food and some beverages
 Free coffee on shift
 Professional development assistance

Opportunities for:

 Long or short shifts
 Afternoon shift
 Day shift
 Morning shift
 Fixed shift
 Flexible hours

Job Types: Full-time, Part-time, CasualPart-time hours: 38 per week
Salary: $23.00 – $35.00 per hour
Benefits:

 Employee discount
 Professional development assistance

Schedule:

 8 hour shift
 Afternoon shift
 Day shift
 Every weekend
 Fixed shift
 Flexible hours
 Morning shift
 Shift work

Supplemental pay types:

 Bonus
 Christmas bonus
 Penalty rates
 Performance bonus

Ability to commute/relocate:

 Hillcrest, QLD 4118: Reliably commute or planning to relocate before starting work (Required)

Work Authorisation:

 Australia (Preferred)
",,"17c3661dc69ae3f0",,"Full-time","Part-time","Casual",,"Geebung QLD 4034","Experienced Barista/ Cafe All Rounder","30+ days ago",,,"$23 - $35 an hour","2023-02-04T16:02:37.632Z","https://au.indeed.com/company/taste-my-bean/jobs/Experienced-Barista-17c3661dc69ae3f0?fccid=21774cfacb61aa7b&vjs=3"
